issue	sku	product_name	competitor	price	in_stock	active	is_used	context	url
PRICE_ZERO_IN_STOCK	HP-T6B70A	Máy in HP Color LaserJet Pro M180n T6B70A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-pro-m180n-t6b70a.html
PRICE_ZERO_IN_STOCK	HP-T6B80A	Máy in HP Color LaserJet Pro MFP M280nw (T6B80A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-pro-mfp-m280nw-t6b82a-1549960548.html
PRICE_ZERO_IN_STOCK	HP-W1A29A	Máy in HP LaserJet Pro MFP M428FDN (W1A29A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-mfp-m428fdn.html
PRICE_ZERO_IN_STOCK	HP-W1A52A	Máy in HP LaserJet Pro M404n (W1A52A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m404n-w1a52a-.html
PRICE_ZERO_IN_STOCK	HP-W2G50A	Máy in HP LaserJet Pro M15a (W2G50A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m15a-w2g50a-.html
PRICE_ZERO_IN_STOCK	HP-W2G51A	Máy in HP LaserJet Pro M15W (W2G51A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m15w-w2g51a-.html
PRICE_ZERO_IN_STOCK	HP-W2G54A	Máy in HP LaserJet Pro MFP M28a (W2G54A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-mfp-m28a-w2g54a-.html
PRICE_ZERO_IN_STOCK	HP-W2G55A	Máy in HP LaserJet Pro MFP M28w (W2G55A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-mfp-m28w-w2g55a-.html
PRICE_ZERO_IN_STOCK	HP-W7U01A	Máy in HP LaserJet MFP M436n (W7U01A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-mfp-m436n-w7u01a-.html
PRICE_ZERO_IN_STOCK	HP-Z4B04A	Máy in HP Ink Tank 315 AiO (Z4B04A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-mau-hp-ink-tank-315-aio-z4b04a-.html
PRICE_ZERO_IN_STOCK	HP-Z4B53A	Máy in HP Ink Tank Wireless 415 (Z4B53A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-ink-tank-wireless-415-z4b53a-.html
PRICE_ZERO_IN_STOCK	PANTUM-BP5100DN	Máy in Pantum BP5100DN - In laser trắng đen đơn năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-pantum-bp5100dn.html
PRICE_ZERO_IN_STOCK	PANTUM-BP5100DW	Máy in Pantum BP5100DW - In laser trắng đen đơn năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-pantum-bp5100dw.html
PRICE_ZERO_IN_STOCK	PANTUM-BP5200DN	Máy in Pantum BP5200DN - In laser trắng đen đơn năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-pantum-bp5200dn.html
PRICE_ZERO_IN_STOCK	PANTUM-BP5200DW	Máy in Pantum BP5200DW - In laser trắng đen đơn năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-pantum-bp5200dw.html
